label,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,v_10,v_11,v_12,v_13,v_14,v_15,v_16,v_17,v_18,v_19,v_20,v_21,v_22,v_23,v_24,v_25,v_26,v_27,v_28,v_29,v_30,v_31,v_32,v_33,v_34,v_35,v_36,v_37,v_38,v_39,v_40,v_41,v_42,v_43,v_44,v_45,v_46,v_47,v_48,v_49,v_50,v_51,v_52,v_53,v_54,v_55,v_56,v_57,v_58,v_59,v_60,v_61,v_62
1,0.26032,0.58104,-0.00000,0.32227,0.48276,-0.00890,0.39805,0.39477,-0.03137,0.44663,0.32040,-0.05310,0.47212,0.24922,-0.07128,0.45516,0.46961,-0.04927,0.52652,0.54042,-0.07233,0.49714,0.53811,-0.08122,0.46754,0.51600,-0.08566,0.43240,0.54616,-0.05989,0.51103,0.60856,-0.07193,0.47933,0.59616,-0.06488,0.44328,0.57561,-0.06274,0.40603,0.62087,-0.06958,0.47978,0.66509,-0.07452,0.44909,0.65162,-0.05220,0.41432,0.63511,-0.04091,0.37815,0.68964,-0.07972,0.43923,0.70845,-0.07657,0.41187,0.69170,-0.05374,0.38365,0.67858,-0.03948
1,0.26629,0.58389,-0.00000,0.32665,0.48515,-0.00980,0.40108,0.39473,-0.03195,0.44603,0.31654,-0.05315,0.47053,0.24473,-0.07029,0.44781,0.46985,-0.05176,0.52809,0.52316,-0.07568,0.49728,0.52391,-0.08403,0.46454,0.50522,-0.08747,0.42875,0.54669,-0.06165,0.51463,0.59669,-0.07399,0.48400,0.58920,-0.06704,0.44920,0.57094,-0.06489,0.40629,0.62077,-0.07064,0.48802,0.65869,-0.07713,0.45679,0.64745,-0.05480,0.42181,0.63181,-0.04306,0.38226,0.68828,-0.08003,0.44789,0.70321,-0.07823,0.42043,0.68817,-0.05525,0.39161,0.67686,-0.04064
1,0.26570,0.58780,-0.00000,0.32509,0.48530,-0.00769,0.40094,0.39580,-0.02743,0.44733,0.32001,-0.04660,0.46988,0.24776,-0.06173,0.45097,0.46314,-0.04645,0.53364,0.51871,-0.06787,0.50232,0.51958,-0.07475,0.46953,0.49940,-0.07754,0.43421,0.54116,-0.05665,0.52103,0.59144,-0.06642,0.48893,0.58385,-0.05829,0.45391,0.56527,-0.05525,0.41301,0.61634,-0.06592,0.49537,0.65233,-0.07081,0.46381,0.64158,-0.04899,0.42861,0.62651,-0.03747,0.38976,0.68573,-0.07545,0.45485,0.69769,-0.07375,0.42742,0.68381,-0.05171,0.39812,0.67297,-0.03735
1,0.27710,0.58668,-0.00000,0.33318,0.48752,-0.00734,0.40388,0.39737,-0.02707,0.44716,0.32271,-0.04631,0.46837,0.25323,-0.06162,0.45784,0.46180,-0.04558,0.54002,0.51676,-0.06628,0.50831,0.52128,-0.07294,0.47588,0.50226,-0.07576,0.44331,0.53733,-0.05578,0.52771,0.58722,-0.06502,0.49515,0.58244,-0.05719,0.46019,0.56350,-0.05457,0.42365,0.61156,-0.06502,0.50155,0.64760,-0.06915,0.47091,0.63889,-0.04823,0.43708,0.62303,-0.03771,0.40171,0.68050,-0.07449,0.46425,0.69291,-0.07187,0.43657,0.68082,-0.04990,0.40775,0.66947,-0.03593
1,0.28851,0.59147,-0.00000,0.33875,0.49486,-0.00911,0.40475,0.40502,-0.03055,0.44825,0.33170,-0.05148,0.47322,0.26491,-0.06843,0.45860,0.45583,-0.04966,0.54541,0.50740,-0.07465,0.51164,0.51673,-0.08366,0.47831,0.50079,-0.08734,0.44524,0.53002,-0.06005,0.53298,0.57963,-0.07393,0.49837,0.57749,-0.06699,0.46181,0.55917,-0.06393,0.42676,0.60450,-0.06996,0.50672,0.64158,-0.07796,0.47426,0.63544,-0.05622,0.43970,0.62155,-0.04408,0.40643,0.67555,-0.08021,0.47105,0.68793,-0.08073,0.44214,0.67862,-0.05876,0.41293,0.66941,-0.04405
1,0.29172,0.60093,-0.00000,0.33771,0.50198,-0.00912,0.40009,0.40826,-0.02926,0.44309,0.33182,-0.04889,0.46688,0.26512,-0.06419,0.45688,0.45207,-0.04527,0.54058,0.50698,-0.06893,0.50736,0.51805,-0.07672,0.47103,0.50266,-0.07948,0.44655,0.52606,-0.05520,0.52958,0.57242,-0.06714,0.49546,0.57524,-0.06027,0.45797,0.55948,-0.05751,0.43180,0.60160,-0.06483,0.50713,0.63337,-0.07119,0.47355,0.63309,-0.04995,0.43768,0.62183,-0.03850,0.41466,0.67398,-0.07506,0.47556,0.68438,-0.07515,0.44526,0.67953,-0.05442,0.41594,0.67142,-0.04066
1,0.28929,0.60199,-0.00000,0.33589,0.50604,-0.00892,0.39540,0.41104,-0.02820,0.43664,0.33556,-0.04690,0.46007,0.27109,-0.06134,0.45596,0.45568,-0.04219,0.53030,0.51297,-0.06365,0.49895,0.52405,-0.07117,0.46438,0.50750,-0.07479,0.44512,0.52957,-0.05256,0.52144,0.57830,-0.06469,0.48832,0.58119,-0.05971,0.45203,0.56342,-0.05867,0.43010,0.60570,-0.06257,0.50191,0.63955,-0.07031,0.46919,0.63938,-0.05093,0.43412,0.62554,-0.04065,0.41255,0.67873,-0.07298,0.47170,0.69159,-0.07429,0.44233,0.68732,-0.05464,0.41354,0.67784,-0.04161
1,0.28346,0.61215,-0.00000,0.33250,0.51355,-0.00763,0.39236,0.42053,-0.02596,0.43353,0.34667,-0.04428,0.45600,0.28295,-0.05854,0.45276,0.46686,-0.03865,0.52659,0.52463,-0.06061,0.49647,0.53279,-0.07008,0.46203,0.51429,-0.07468,0.44066,0.54104,-0.04930,0.51564,0.58892,-0.06056,0.48442,0.58929,-0.05670,0.44956,0.57098,-0.05665,0.42488,0.61609,-0.05964,0.49469,0.64892,-0.06659,0.46350,0.64761,-0.04824,0.42929,0.63358,-0.03863,0.40703,0.68796,-0.07040,0.46659,0.70061,-0.07054,0.43809,0.69473,-0.05091,0.40913,0.68407,-0.03789
1,0.28272,0.61437,-0.00000,0.33205,0.51726,-0.00808,0.39035,0.42864,-0.02768,0.43117,0.35742,-0.04724,0.45371,0.29325,-0.06286,0.45381,0.47520,-0.03974,0.52575,0.53748,-0.06249,0.49565,0.54537,-0.07268,0.46144,0.52568,-0.07784,0.44084,0.55026,-0.05080,0.51241,0.60077,-0.06227,0.48088,0.60066,-0.05852,0.44690,0.58066,-0.05888,0.42381,0.62572,-0.06158,0.49160,0.66085,-0.06912,0.45933,0.65902,-0.05007,0.42524,0.64402,-0.04022,0.40459,0.69744,-0.07291,0.46091,0.71183,-0.07414,0.43148,0.70542,-0.05423,0.40356,0.69462,-0.04095
1,0.28338,0.62299,-0.00000,0.33390,0.52611,-0.00607,0.39292,0.44029,-0.02531,0.43272,0.37028,-0.04500,0.45275,0.30506,-0.06111,0.45602,0.48801,-0.03840,0.52646,0.55238,-0.06066,0.49651,0.56029,-0.07070,0.46232,0.54027,-0.07569,0.44209,0.56180,-0.05029,0.51159,0.61469,-0.06075,0.48118,0.61522,-0.05708,0.44825,0.59468,-0.05777,0.42421,0.63638,-0.06176,0.48995,0.67423,-0.06836,0.45802,0.67211,-0.04961,0.42459,0.65545,-0.04028,0.40385,0.70686,-0.07358,0.45906,0.72486,-0.07395,0.42955,0.71725,-0.05387,0.40140,0.70418,-0.04057
