label,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,v_10,v_11,v_12,v_13,v_14,v_15,v_16,v_17,v_18,v_19,v_20,v_21,v_22,v_23,v_24,v_25,v_26,v_27,v_28,v_29,v_30,v_31,v_32,v_33,v_34,v_35,v_36,v_37,v_38,v_39,v_40,v_41,v_42,v_43,v_44,v_45,v_46,v_47,v_48,v_49,v_50,v_51,v_52,v_53,v_54,v_55,v_56,v_57,v_58,v_59,v_60,v_61,v_62
0,0.27128,0.71617,-0.00000,0.34092,0.67335,-0.02334,0.40447,0.60217,-0.03409,0.41192,0.53464,-0.04686,0.37263,0.51172,-0.05412,0.37884,0.50714,0.00478,0.40456,0.45624,-0.02798,0.39349,0.51961,-0.04560,0.38613,0.53211,-0.05404,0.34056,0.49836,0.00071,0.36358,0.45598,-0.03548,0.35278,0.52792,-0.04539,0.34360,0.53481,-0.04430,0.30100,0.49747,-0.01024,0.31839,0.45562,-0.04329,0.31319,0.52358,-0.03445,0.30527,0.53380,-0.02112,0.25686,0.50003,-0.02393,0.27710,0.46670,-0.03556,0.27651,0.51638,-0.02152,0.26997,0.53248,-0.00795
0,0.26203,0.68896,-0.00000,0.32978,0.65103,-0.02052,0.39171,0.58600,-0.02914,0.37762,0.52106,-0.03790,0.32572,0.50676,-0.04103,0.36737,0.50082,-0.00197,0.39311,0.45326,-0.02861,0.37400,0.52537,-0.04083,0.36264,0.54158,-0.04628,0.32705,0.48897,-0.00552,0.34757,0.44893,-0.03138,0.33326,0.52845,-0.03427,0.32542,0.52925,-0.03120,0.28792,0.48790,-0.01441,0.30388,0.44322,-0.04220,0.29775,0.52177,-0.02847,0.29097,0.52935,-0.01336,0.24353,0.49097,-0.02512,0.26481,0.45473,-0.03481,0.26420,0.51114,-0.01571,0.25546,0.52752,0.00070
0,0.25975,0.67729,-0.00000,0.32287,0.65158,-0.02209,0.38332,0.59079,-0.03107,0.37103,0.52350,-0.03852,0.32568,0.49716,-0.03960,0.36385,0.50566,-0.00818,0.38318,0.45436,-0.03449,0.36500,0.52432,-0.04567,0.35542,0.54138,-0.05061,0.32283,0.49269,-0.00941,0.33966,0.44621,-0.03390,0.32721,0.52495,-0.03560,0.32125,0.52476,-0.03223,0.28292,0.48945,-0.01547,0.29565,0.44073,-0.04305,0.29137,0.52009,-0.02852,0.28685,0.52703,-0.01313,0.23816,0.48860,-0.02325,0.25381,0.45556,-0.03590,0.25683,0.51093,-0.01896,0.25240,0.52351,-0.00360
0,0.26619,0.66671,-0.00000,0.32948,0.64138,-0.02301,0.39005,0.57814,-0.03171,0.37384,0.50950,-0.03891,0.32849,0.48831,-0.03994,0.36449,0.50038,-0.00624,0.38357,0.45273,-0.03022,0.36461,0.51949,-0.03913,0.35379,0.53618,-0.04278,0.32451,0.48785,-0.00672,0.34071,0.44309,-0.03130,0.32802,0.51774,-0.03302,0.32143,0.51868,-0.02906,0.28506,0.48534,-0.01208,0.29870,0.43749,-0.04030,0.29428,0.51358,-0.02686,0.28809,0.52128,-0.01162,0.24057,0.48471,-0.01916,0.25811,0.45264,-0.03261,0.26105,0.50539,-0.01706,0.25505,0.51654,-0.00247
0,0.27010,0.66281,-0.00000,0.33154,0.63834,-0.02308,0.39126,0.57542,-0.03157,0.37538,0.50823,-0.03827,0.32724,0.49329,-0.03899,0.36746,0.49851,-0.00521,0.38396,0.45230,-0.02869,0.36791,0.51931,-0.03824,0.35931,0.53526,-0.04244,0.32819,0.48611,-0.00555,0.34291,0.44280,-0.02972,0.33184,0.51765,-0.03226,0.32458,0.51954,-0.02881,0.28889,0.48349,-0.01065,0.30056,0.43792,-0.03892,0.29780,0.51418,-0.02661,0.29180,0.52297,-0.01186,0.24447,0.48308,-0.01734,0.26057,0.45132,-0.03101,0.26474,0.50450,-0.01582,0.25970,0.51686,-0.00125
0,0.27299,0.66527,-0.00000,0.33517,0.64348,-0.02243,0.39420,0.58088,-0.02999,0.37859,0.51253,-0.03575,0.33126,0.49674,-0.03582,0.36958,0.50394,-0.00473,0.38634,0.45786,-0.02802,0.37172,0.52335,-0.03781,0.36425,0.53878,-0.04233,0.33045,0.49114,-0.00520,0.34676,0.44605,-0.02910,0.33593,0.52045,-0.03180,0.32739,0.52268,-0.02854,0.29144,0.48741,-0.01042,0.30434,0.44138,-0.03867,0.30098,0.51742,-0.02690,0.29365,0.52580,-0.01253,0.24727,0.48590,-0.01713,0.26376,0.45178,-0.03100,0.26733,0.50493,-0.01623,0.26143,0.51741,-0.00207
0,0.27746,0.66345,-0.00000,0.34034,0.63981,-0.02071,0.39895,0.58357,-0.02798,0.38489,0.51832,-0.03368,0.34046,0.49711,-0.03378,0.37286,0.50410,-0.00401,0.38986,0.45809,-0.02697,0.37538,0.52339,-0.03624,0.36727,0.54004,-0.04005,0.33372,0.49080,-0.00467,0.34999,0.44695,-0.02808,0.33871,0.52091,-0.03110,0.33026,0.52417,-0.02821,0.29484,0.48700,-0.00977,0.30863,0.44030,-0.03709,0.30421,0.51573,-0.02500,0.29718,0.52505,-0.01069,0.25014,0.48587,-0.01614,0.26753,0.45312,-0.02930,0.27060,0.50617,-0.01397,0.26502,0.51942,0.00064
0,0.28238,0.66526,-0.00000,0.34559,0.64214,-0.01767,0.40302,0.58941,-0.02462,0.39272,0.52715,-0.03093,0.34924,0.50506,-0.03286,0.37621,0.50562,-0.00265,0.39462,0.46025,-0.02531,0.38215,0.52200,-0.03655,0.37487,0.54195,-0.04158,0.33831,0.49379,-0.00463,0.35604,0.45119,-0.02685,0.34561,0.52050,-0.03138,0.33538,0.52979,-0.02995,0.30013,0.49073,-0.01060,0.31464,0.44548,-0.03570,0.31122,0.51558,-0.02501,0.30252,0.52985,-0.01220,0.25617,0.49138,-0.01764,0.27540,0.45558,-0.02958,0.27799,0.50543,-0.01453,0.27039,0.52292,-0.00032
0,0.29521,0.67623,-0.00000,0.35490,0.64716,-0.01757,0.41113,0.59218,-0.02570,0.40981,0.53367,-0.03346,0.36975,0.51077,-0.03683,0.37303,0.50015,-0.00367,0.39631,0.46121,-0.02761,0.38724,0.52511,-0.03988,0.37861,0.54302,-0.04549,0.33704,0.49310,-0.00636,0.36155,0.45730,-0.02960,0.35342,0.52900,-0.03440,0.34034,0.53599,-0.03343,0.30032,0.49377,-0.01316,0.32277,0.45631,-0.03787,0.32135,0.52485,-0.02737,0.30876,0.53621,-0.01522,0.25803,0.49859,-0.02117,0.28580,0.46803,-0.03278,0.28990,0.51744,-0.01827,0.27854,0.53299,-0.00478
0,0.29961,0.68214,-0.00000,0.35599,0.64826,-0.02136,0.41241,0.58577,-0.03122,0.42102,0.52778,-0.04023,0.37706,0.52112,-0.04411,0.36671,0.48027,-0.00283,0.39403,0.46039,-0.02829,0.38349,0.52675,-0.04279,0.37166,0.53250,-0.05093,0.33142,0.47558,-0.00445,0.35806,0.46100,-0.03023,0.35161,0.53103,-0.03609,0.33951,0.52766,-0.03561,0.29586,0.48093,-0.01104,0.32212,0.46705,-0.03561,0.32226,0.52991,-0.02656,0.31001,0.53234,-0.01585,0.25866,0.49062,-0.01984,0.29009,0.47900,-0.02992,0.29414,0.52528,-0.01781,0.28378,0.53492,-0.00632
0,0.30958,0.68501,-0.00000,0.36161,0.64131,-0.01154,0.40432,0.56682,-0.02074,0.42213,0.51641,-0.03095,0.38950,0.52205,-0.03587,0.33265,0.45072,-0.00008,0.38739,0.45300,-0.02630,0.37906,0.51847,-0.04292,0.35892,0.52327,-0.05342,0.30316,0.45224,-0.00803,0.36320,0.46110,-0.03444,0.35763,0.52886,-0.03939,0.33895,0.52757,-0.03901,0.27759,0.46661,-0.02006,0.33971,0.48006,-0.04266,0.33870,0.53787,-0.03501,0.31895,0.53877,-0.02643,0.25907,0.48957,-0.03416,0.31594,0.49880,-0.04358,0.31782,0.54137,-0.03514,0.29912,0.54892,-0.02731
0,0.30441,0.68612,-0.00000,0.35960,0.62885,-0.00730,0.38867,0.56174,-0.01963,0.40579,0.51792,-0.03413,0.39128,0.51528,-0.04285,0.29436,0.45152,0.00242,0.36700,0.44664,-0.02663,0.36707,0.50757,-0.04499,0.34283,0.51875,-0.05630,0.27551,0.45518,-0.00918,0.36128,0.45248,-0.03691,0.36026,0.52101,-0.04151,0.33617,0.52632,-0.04084,0.26566,0.47252,-0.02478,0.35224,0.47500,-0.04853,0.35113,0.53546,-0.04063,0.32655,0.54066,-0.03169,0.26649,0.49918,-0.04218,0.33683,0.50064,-0.05210,0.33579,0.54313,-0.04432,0.31305,0.55177,-0.03721
0,0.29517,0.68365,-0.00000,0.35304,0.61976,-0.00160,0.37812,0.56046,-0.01266,0.39428,0.52232,-0.02747,0.38787,0.50818,-0.03745,0.27845,0.45203,0.00656,0.35616,0.44074,-0.01868,0.35927,0.49854,-0.03696,0.33747,0.51907,-0.04872,0.26629,0.45747,-0.00732,0.35862,0.44816,-0.02979,0.35983,0.51098,-0.03570,0.33834,0.52564,-0.03745,0.26501,0.47704,-0.02427,0.35525,0.46936,-0.04131,0.35678,0.52471,-0.03475,0.33486,0.53826,-0.02883,0.27480,0.50555,-0.04284,0.34591,0.50132,-0.04878,0.34633,0.54222,-0.04158,0.32673,0.55516,-0.03598
0,0.29702,0.68599,-0.00000,0.35321,0.61810,0.00045,0.37120,0.55347,-0.00778,0.38167,0.51192,-0.02014,0.38210,0.50225,-0.02834,0.27700,0.44942,0.00734,0.35312,0.43313,-0.01416,0.35850,0.49065,-0.03047,0.34004,0.51445,-0.04183,0.26746,0.45784,-0.00681,0.35753,0.44717,-0.02634,0.35970,0.50588,-0.03166,0.34046,0.52473,-0.03369,0.26854,0.48123,-0.02361,0.35699,0.47273,-0.03779,0.35689,0.52471,-0.03199,0.33582,0.54301,-0.02736,0.27895,0.51370,-0.04195,0.34793,0.50873,-0.04721,0.34815,0.54661,-0.04132,0.33124,0.56260,-0.03694
0,0.29590,0.68526,-0.00000,0.35511,0.61484,-0.00033,0.37042,0.54825,-0.00978,0.37951,0.50975,-0.02309,0.38762,0.49834,-0.03172,0.27266,0.44689,0.00144,0.35319,0.43147,-0.02001,0.35643,0.48873,-0.03447,0.33538,0.50665,-0.04542,0.26654,0.45801,-0.01338,0.36258,0.44923,-0.03233,0.36198,0.50811,-0.03538,0.33860,0.52089,-0.03715,0.27237,0.48392,-0.03068,0.36634,0.47895,-0.04402,0.36452,0.53271,-0.03646,0.34016,0.54731,-0.03245,0.28793,0.51785,-0.04975,0.36216,0.51802,-0.05560,0.36313,0.55640,-0.05059,0.34611,0.56755,-0.04785
