label,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,v_10,v_11,v_12,v_13,v_14,v_15,v_16,v_17,v_18,v_19,v_20,v_21,v_22,v_23,v_24,v_25,v_26,v_27,v_28,v_29,v_30,v_31,v_32,v_33,v_34,v_35,v_36,v_37,v_38,v_39,v_40,v_41,v_42,v_43,v_44,v_45,v_46,v_47,v_48,v_49,v_50,v_51,v_52,v_53,v_54,v_55,v_56,v_57,v_58,v_59,v_60,v_61,v_62
3,0.35055,0.57666,0.00000,0.41077,0.54839,-0.02136,0.46003,0.50020,-0.02852,0.49507,0.45732,-0.03498,0.52534,0.43874,-0.04142,0.40820,0.38357,-0.00594,0.42716,0.31137,-0.01397,0.43438,0.26715,-0.02315,0.43963,0.23101,-0.03069,0.37239,0.37544,-0.00596,0.37992,0.29483,-0.01082,0.38111,0.24527,-0.01960,0.38207,0.20634,-0.02684,0.33849,0.38473,-0.00947,0.33687,0.30856,-0.01717,0.33666,0.26163,-0.02848,0.33855,0.22214,-0.03742,0.30391,0.41014,-0.01543,0.27970,0.37069,-0.02594,0.26786,0.34116,-0.03306,0.26176,0.31270,-0.03779
3,0.34941,0.58039,0.00000,0.41049,0.55382,-0.02056,0.46112,0.50405,-0.02675,0.49632,0.46406,-0.03240,0.52652,0.44820,-0.03813,0.40984,0.38664,-0.00590,0.43105,0.31485,-0.01422,0.43980,0.27087,-0.02386,0.44620,0.23437,-0.03172,0.37415,0.37777,-0.00631,0.38382,0.29695,-0.01121,0.38660,0.24691,-0.02039,0.38903,0.20777,-0.02815,0.34002,0.38614,-0.01013,0.33963,0.30982,-0.01744,0.34034,0.26255,-0.02889,0.34310,0.22272,-0.03815,0.30506,0.41076,-0.01642,0.28148,0.37048,-0.02627,0.26941,0.34007,-0.03322,0.26251,0.31053,-0.03809
3,0.34921,0.58374,0.00000,0.41032,0.55770,-0.02103,0.46216,0.51001,-0.02853,0.49925,0.47282,-0.03563,0.53028,0.45957,-0.04288,0.41228,0.39150,-0.00845,0.43440,0.31973,-0.01838,0.44429,0.27558,-0.02867,0.45146,0.23899,-0.03676,0.37686,0.38149,-0.00941,0.38866,0.30032,-0.01574,0.39247,0.24931,-0.02504,0.39520,0.20877,-0.03261,0.34274,0.38916,-0.01380,0.34361,0.31244,-0.02230,0.34512,0.26454,-0.03382,0.34835,0.22411,-0.04288,0.30786,0.41386,-0.02068,0.28416,0.37276,-0.03138,0.27183,0.34181,-0.03841,0.26454,0.31150,-0.04319
3,0.35227,0.58863,0.00000,0.41371,0.56211,-0.02004,0.46811,0.51575,-0.02768,0.50563,0.48203,-0.03522,0.53710,0.46930,-0.04309,0.41676,0.39760,-0.00908,0.43856,0.32667,-0.01991,0.44839,0.28428,-0.03088,0.45596,0.24883,-0.03926,0.38127,0.38715,-0.01094,0.39355,0.30665,-0.01799,0.39837,0.25627,-0.02797,0.40217,0.21672,-0.03604,0.34696,0.39455,-0.01607,0.34917,0.31835,-0.02493,0.35149,0.27118,-0.03640,0.35615,0.23184,-0.04541,0.31215,0.41906,-0.02357,0.28846,0.37678,-0.03437,0.27623,0.34607,-0.04086,0.26907,0.31664,-0.04522
3,0.35671,0.60012,0.00000,0.41904,0.57502,-0.02021,0.47302,0.52658,-0.02740,0.51314,0.49094,-0.03455,0.54529,0.47744,-0.04210,0.42283,0.40799,-0.00801,0.44362,0.33813,-0.01880,0.45434,0.29748,-0.03015,0.46308,0.26316,-0.03889,0.38678,0.39707,-0.00990,0.39825,0.31557,-0.01677,0.40371,0.26574,-0.02678,0.40882,0.22612,-0.03499,0.35197,0.40485,-0.01523,0.35503,0.32839,-0.02421,0.35817,0.28020,-0.03590,0.36386,0.24013,-0.04512,0.31699,0.42955,-0.02302,0.29353,0.38593,-0.03421,0.28141,0.35380,-0.04110,0.27455,0.32306,-0.04580
3,0.35935,0.60886,0.00000,0.42205,0.58419,-0.02169,0.47602,0.53575,-0.02887,0.51624,0.49988,-0.03572,0.54758,0.48930,-0.04273,0.42938,0.41345,-0.00685,0.45133,0.34227,-0.01618,0.46134,0.30010,-0.02656,0.46957,0.26525,-0.03481,0.39272,0.40207,-0.00736,0.40401,0.32062,-0.01291,0.40838,0.27060,-0.02193,0.41237,0.23170,-0.02936,0.35737,0.40876,-0.01158,0.35970,0.33258,-0.01913,0.36287,0.28522,-0.03022,0.36834,0.24611,-0.03918,0.32126,0.43242,-0.01853,0.29838,0.39077,-0.02839,0.28684,0.35957,-0.03502,0.28065,0.33000,-0.03963
3,0.36332,0.61286,0.00000,0.42650,0.58943,-0.02200,0.48198,0.54263,-0.02970,0.52109,0.50715,-0.03691,0.55149,0.49385,-0.04416,0.43312,0.41769,-0.00835,0.45390,0.34674,-0.01842,0.46334,0.30431,-0.02905,0.47120,0.26897,-0.03737,0.39635,0.40592,-0.00909,0.40738,0.32471,-0.01544,0.41299,0.27447,-0.02475,0.41845,0.23534,-0.03235,0.36083,0.41278,-0.01346,0.36392,0.33572,-0.02192,0.36762,0.28904,-0.03291,0.37377,0.25056,-0.04155,0.32478,0.43706,-0.02053,0.30240,0.39390,-0.03120,0.29139,0.36236,-0.03785,0.28546,0.33268,-0.04227
3,0.36885,0.61751,0.00000,0.43347,0.59512,-0.02104,0.49125,0.54671,-0.02804,0.53146,0.51169,-0.03477,0.56291,0.50254,-0.04176,0.44030,0.42193,-0.00760,0.46059,0.35264,-0.01725,0.46940,0.31125,-0.02789,0.47678,0.27615,-0.03632,0.40311,0.41050,-0.00872,0.41301,0.32952,-0.01464,0.41918,0.27923,-0.02411,0.42505,0.23962,-0.03204,0.36810,0.41720,-0.01331,0.37008,0.34325,-0.02114,0.37518,0.29786,-0.03212,0.38215,0.26043,-0.04089,0.33351,0.44062,-0.02061,0.31174,0.39786,-0.03022,0.30079,0.36710,-0.03636,0.29449,0.33859,-0.04065
3,0.37562,0.62599,0.00000,0.44057,0.60239,-0.02135,0.49895,0.55328,-0.02851,0.53864,0.51965,-0.03557,0.56927,0.50925,-0.04279,0.45177,0.42920,-0.00751,0.47326,0.35778,-0.01756,0.48283,0.31451,-0.02843,0.49127,0.27783,-0.03705,0.41442,0.41654,-0.00881,0.42373,0.33517,-0.01484,0.43019,0.28364,-0.02434,0.43696,0.24343,-0.03217,0.37918,0.42269,-0.01370,0.38126,0.34765,-0.02158,0.38730,0.30241,-0.03242,0.39532,0.26507,-0.04108,0.34486,0.44603,-0.02143,0.32366,0.40430,-0.03154,0.31267,0.37423,-0.03785,0.30604,0.34639,-0.04206
3,0.38695,0.63007,0.00000,0.44923,0.60899,-0.02239,0.50607,0.56382,-0.03101,0.54661,0.53055,-0.03932,0.58095,0.51987,-0.04767,0.46454,0.43901,-0.00948,0.48645,0.36974,-0.02089,0.49657,0.32670,-0.03281,0.50561,0.28929,-0.04226,0.42801,0.42389,-0.01091,0.43803,0.34279,-0.01855,0.44384,0.29052,-0.02920,0.44953,0.24915,-0.03784,0.39230,0.42793,-0.01592,0.39685,0.35255,-0.02546,0.40257,0.30766,-0.03710,0.41051,0.27040,-0.04611,0.35707,0.44942,-0.02376,0.33695,0.40673,-0.03515,0.32623,0.37678,-0.04206,0.32013,0.34894,-0.04659
